Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
69.017,-8.22116392555009,-25.466328118157,-15.5916774462714,100.330048,-1205.839111,436.705048
69.019,-8.25567959377554,-25.4540489797064,-15.5915323963691,100.341522,-1205.855469,436.679535
69.022,-8.27027256282506,-25.4617903900847,-15.5869963615925,100.359573,-1205.872803,436.654968
69.025,-8.28083950844861,-25.4659250855496,-15.5881178695296,100.37841,-1205.891724,436.63559
69.028,-8.30001732904828,-25.4620262100374,-15.5721904474127,100.406876,-1205.917847,436.611908
69.031,-8.33312975407219,-25.4619811401835,-15.5458050139527,100.428986,-1205.935181,436.580627
69.033,-8.32957939967202,-25.4738309241408,-15.5551004287673,100.449081,-1205.956665,436.558136
69.036,-8.36051244243765,-25.4663917663034,-15.5501089918309,100.470398,-1205.974365,436.531738
69.039,-8.38266056973986,-25.4682085566474,-15.5315494360281,100.492195,-1205.995483,436.505493
69.042,-8.40941734538079,-25.4673868033871,-15.5146325100042,100.516312,-1206.016602,436.469849
69.044,-8.43272193875579,-25.4698415252763,-15.5228681202736,100.538902,-1206.030884,436.434723
69.047,-8.45000049904947,-25.4640429467613,-15.504025240396,100.547394,-1206.040771,436.411743
69.05,-8.44715029155756,-25.4730532944803,-15.5243482510024,100.576141,-1206.053955,436.383972
69.053,-8.47524036986331,-25.4789466390265,-15.5085673803343,100.604492,-1206.065552,436.359283
69.056,-8.48042517411767,-25.4708166157732,-15.5193720466512,100.605354,-1206.072998,436.328522
69.058,-8.50254676164971,-25.4675830574863,-15.5053819079966,100.624016,-1206.092529,436.306305
69.061,-8.49491217482931,-25.4752273280164,-15.5259749020705,100.656578,-1206.098877,436.282715
69.064,-8.47524893344771,-25.4531782063454,-15.5282889536443,100.694122,-1206.115723,436.249146
69.067,-8.48083555120739,-25.4411437580047,-15.5295352778512,100.704582,-1206.126953,436.222717
69.069,-8.48096722122598,-25.4474802075061,-15.5474190557269,100.734749,-1206.137451,436.20047
69.072,-8.48808509243047,-25.435216689221,-15.5444996121729,100.74704,-1206.138672,436.192535
69.075,-8.48336986301753,-25.4290307500412,-15.5598187057186,100.763969,-1206.147827,436.176849
69.078,-8.49506927316792,-25.4227189333583,-15.5604899568966,100.776543,-1206.149902,436.161926
69.081,-8.50044843043035,-25.4313661623118,-15.5765320343382,100.789726,-1206.153809,436.169525
69.083,-8.49340644475783,-25.4153004502706,-15.5684532242554,100.82164,-1206.145996,436.165649
69.086,-8.52542939627597,-25.4174388091839,-15.5624503725408,100.814217,-1206.15686,436.163239
69.089,-8.507937422319,-25.3933220042274,-15.592334624636,100.82238,-1206.151489,436.162903
69.092,-8.48679034531058,-25.3814497507995,-15.6036847487888,100.843277,-1206.145142,436.154968
69.094,-8.49253366423583,-25.3600762626558,-15.5911604454413,100.844765,-1206.146851,436.14679
69.097,-8.46533445581956,-25.3500456753968,-15.604131698332,100.854195,-1206.143311,436.161682
69.1,-8.45935573647222,-25.3378048741552,-15.5817676166043,100.858261,-1206.144165,436.16568
69.103,-8.45151822601379,-25.3237345635764,-15.5900838022588,100.86911,-1206.135376,436.172424
69.106,-8.45187859151815,-25.3134416299069,-15.5952510491497,100.877968,-1206.131104,436.166626
69.108,-8.42737191422486,-25.2931036557241,-15.6331803903959,100.879456,-1206.130859,436.152527
69.111,-8.39127683348118,-25.2984897155394,-15.6401213181303,100.88652,-1206.119629,436.154327
69.114,-8.39550445962349,-25.2772535185095,-15.6617782876148,100.898964,-1206.115967,436.148651
69.117,-8.37268314492235,-25.2621315607152,-15.6851218333841,100.886971,-1206.110474,436.138245
69.119,-8.34083731611966,-25.2596558084087,-15.7028007011324,100.89389,-1206.10498,436.125
69.122,-8.33487756377031,-25.2524389619535,-15.7046929269167,100.902679,-1206.101685,436.108368
69.125,-8.31549785664054,-25.2430445762913,-15.7520853097744,100.91114,-1206.099487,436.084595
69.128,-8.29364746909064,-25.2294161382558,-15.7862599854197,100.921104,-1206.087769,436.07489
69.131,-8.30456580026718,-25.2114261858765,-15.8195525169295,100.910004,-1206.068237,436.044495
69.133,-8.28295802124467,-25.2201136946785,-15.8470877369272,100.927971,-1206.059448,436.025665
69.136,-8.25398171762826,-25.2111616650442,-15.890755056146,100.948181,-1206.068604,435.986145
69.139,-8.26394029712056,-25.1908415368335,-15.9027152859951,100.970001,-1206.05835,435.963898
69.142,-8.24824003456694,-25.2015007917964,-15.914277559267,100.961273,-1206.049805,435.910431
69.144,-8.23790712723915,-25.1947531833564,-15.9414119038783,100.974976,-1206.035645,435.888306
69.147,-8.21801537429671,-25.1931301859759,-15.9484726791842,100.98201,-1206.029175,435.862457
69.15,-8.17365309098566,-25.1838964436197,-15.974670669287,101.011253,-1206.022705,435.805786
69.153,-8.17994502092754,-25.1864221445782,-15.9838600224615,101.006302,-1206.011597,435.76239
69.156,-8.18662854862366,-25.1848744543091,-16.0075566349836,101.043114,-1206.006226,435.704681
69.158,-8.17999477013059,-25.168661604408,-16.0051874145903,101.063171,-1205.996704,435.669922
69.161,-8.17893077308137,-25.182404757211,-15.9954356469059,101.0569,-1205.984009,435.62735
69.164,-8.19647399211182,-25.1691400710183,-16.0069302279584,101.074776,-1205.969116,435.58371
69.167,-8.1999426641353,-25.1625560029383,-16.0235468381017,101.079216,-1205.9552,435.542542
69.169,-8.19837835950621,-25.1502239438582,-16.0179986800273,101.093285,-1205.957153,435.494049
69.172,-8.19169939728228,-25.1442782863471,-16.0120432434459,101.097687,-1205.945068,435.444855
69.175,-8.19658959124006,-25.1418144433143,-16.0044998544053,101.110229,-1205.936401,435.400696
69.178,-8.2109160650462,-25.1310622024623,-15.9994945462467,101.117523,-1205.934814,435.36908
69.181,-8.19808715844687,-25.1318529680194,-16.0050183890343,101.131622,-1205.94458,435.332855
69.183,-8.21185977112754,-25.1123992030297,-15.9925741002079,101.133484,-1205.94397,435.287994
69.186,-8.22248517621141,-25.1042415523538,-15.9911290735637,101.147827,-1205.946899,435.242493
69.189,-8.22595274426064,-25.0941918621455,-16.0047701516972,101.152283,-1205.946777,435.19635
69.192,-8.23159645709789,-25.0892043456194,-15.9957205498824,101.16256,-1205.955688,435.152344
69.194,-8.23552861167514,-25.0801984747751,-15.9942838941787,101.175209,-1205.964478,435.126526
69.197,-8.25583319830344,-25.0715673231748,-15.9979912097809,101.192284,-1205.973877,435.089661
69.2,-8.24864433460963,-25.0635726033402,-15.9911110476865,101.208565,-1205.99292,435.05542
69.203,-8.26756857541378,-25.0456662788197,-15.9865295377798,101.215195,-1206.015015,435.02652
69.206,-8.261950064758,-25.0368463964994,-15.992386797152,101.22506,-1206.028931,435.000305
69.208,-8.28580511206623,-25.0306644572461,-15.9835190203792,101.224251,-1206.040039,434.949097
