Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
21.3,[ -20.    2.  -11.   62.   -1. -242.]
21.39,[ -21.    2.  -11.   60.   -1. -232.]
21.5,[ -21.    2.  -11.   62.   -1. -242.]
21.59,[ -19.    2.  -11.   62.   -1. -242.]
21.7,[ -19.    2.  -10.   64.   -1. -250.]
21.8,[ -18.    2.   -8.   59.   -1. -228.]
21.9,[ -18.    2.   -7.   61.   -0. -238.]
22.0,[ -19.    2.  -10.   61.   -0. -239.]
22.1,[ -19.    2.  -11.   60.    0. -233.]
22.2,[ -19.    2.  -11.   60.    0. -231.]
22.29,[ -17.    3.  -12.   66.    0. -258.]
22.4,[ -20.    6.  -20.   86.    2. -349.]
22.52,[ -17.    7.  -25.   77.    3. -327.]
22.56,[ -18.    9.  -29.   54.    3. -246.]
22.67,[ -18.   11.  -32.   49.    3. -239.]
22.77,[ -14.   11.  -37.   60.    6. -305.]
22.87,[ -13.   12.  -40.   56.    6. -298.]
22.97,[ -17.   14.  -40.   44.    7. -251.]
23.07,[ -14.   14.  -42.   45.    8. -258.]
23.17,[ -15.   14.  -43.   42.    8. -247.]
23.27,[ -14.   13.  -42.   42.    8. -250.]
23.33,[ -15.   15.  -44.   43.    9. -264.]
23.43,[ -12.   13.  -42.   43.    9. -262.]
23.5,[ -13.   15.  -42.   44.    9. -264.]
23.6,[ -16.   11.  -35.   37.    6. -212.]
23.69,[ -13.    9.  -34.   46.    7. -247.]
23.8,[ -15.    7.  -34.   43.    5. -223.]
23.87,[ -14.    8.  -35.   46.    6. -240.]
23.97,[ -14.    7.  -32.   45.    6. -232.]
24.07,[ -17.    7.  -31.   40.    6. -197.]
24.16,[ -20.    7.  -27.   41.    6. -193.]
24.23,[ -17.    6.  -26.   54.    7. -233.]
24.37,[ -11.    7.  -22.   41.    5. -162.]
24.47,[ -10.    7.  -22.   44.    4. -162.]
24.57,[  -5.    8.  -21.   48.    4. -166.]
24.67,[  -3.    8.  -19.   56.    4. -185.]
24.77,[  -1.    8.  -16.   61.    3. -192.]
24.87,[  -1.    9.  -14.   65.    2. -200.]
24.93,[  -1.    8.  -13.   69.    1. -209.]
25.08,[   1.    9.  -11.   80.    1. -240.]
25.16,[   3.   10.  -10.   72.   -0. -219.]
25.26,[   3.   10.  -13.   86.   -2. -261.]
25.36,[   3.    9.  -12.   86.   -3. -265.]
25.43,[   3.    9.  -10.   71.   -3. -221.]
25.57,[   5.    8.   -8.   79.   -4. -251.]
25.63,[   5.    7.   -9.   78.   -4. -253.]
25.77,[   7.    7.   -8.   77.   -5. -253.]
25.87,[   6.    6.   -8.   80.   -5. -268.]
25.96,[   8.    6.   -7.   86.   -6. -294.]
26.03,[   7.    5.   -8.   68.   -5. -239.]
26.13,[   7.    5.   -8.   71.   -6. -254.]
26.22,[   9.    4.   -8.   76.   -7. -274.]
26.33,[   9.    4.   -7.   73.   -7. -267.]
26.43,[   7.    4.   -6.   73.   -8. -268.]
26.49,[  10.    5.   -4.   68.   -8. -252.]
26.64,[   7.    4.   -5.   69.   -9. -259.]
26.7,[  11.    3.   -6.   63.   -9. -243.]
26.83,[   8.    3.   -5.   68.  -10. -261.]
26.93,[  11.    3.   -5.   66.  -10. -258.]
27.03,[  10.    3.   -5.   71.  -12. -277.]
27.13,[  10.    3.   -5.   67.  -12. -264.]
27.2,[  12.    2.   -5.   62.  -12. -248.]
27.33,[  11.    1.   -8.   66.  -13. -264.]
27.43,[  11.    1.   -7.   66.  -14. -265.]
27.53,[   9.    0.  -10.   64.  -15. -261.]
27.63,[  11.    0.   -9.   61.  -15. -247.]
27.73,[  13.    0.  -10.   65.  -16. -265.]
27.82,[  15.    0.   -8.   63.  -16. -254.]
27.9,[  16.   -0.  -11.   62.  -16. -254.]
28.03,[  18.   -0.  -11.   60.  -16. -245.]
28.13,[  18.   -0.  -11.   63.  -17. -255.]
28.23,[  20.   -1.  -13.   65.  -18. -266.]
28.33,[  20.   -1.  -13.   65.  -18. -266.]
28.42,[  22.   -1.  -13.   66.  -19. -269.]
28.53,[  22.   -0.  -11.   61.  -18. -249.]
28.6,[  23.   -1.  -13.   63.  -19. -258.]
28.73,[  23.   -0.  -13.   63.  -19. -258.]
28.8,[  25.   -0.  -13.   62.  -19. -254.]
28.93,[  25.   -1.  -12.   63.  -19. -258.]
29.0,[  25.   -0.  -13.   63.  -19. -256.]
29.13,[  25.   -1.  -12.   60.  -18. -246.]
29.23,[  26.   -1.  -14.   66.  -20. -268.]
29.33,[  26.    0.  -12.   60.  -18. -244.]
29.43,[  27.   -0.  -11.   61.  -19. -246.]
29.53,[  26.   -0.  -11.   63.  -19. -256.]
29.62,[  24.   -0.  -13.   66.  -20. -267.]
29.73,[  21.    1.   -9.   63.  -18. -256.]
29.83,[  18.    1.   -7.   62.  -17. -251.]
29.93,[  16.   -0.   -9.   62.  -17. -253.]
30.0,[  15.   -1.   -8.   63.  -16. -256.]
30.13,[  11.   -1.  -10.   62.  -14. -256.]
30.23,[  10.   -1.  -10.   59.  -11. -242.]
30.33,[   6.    0.   -6.   58.   -8. -235.]
30.43,[   4.   -0.   -6.   56.   -6. -224.]
30.52,[   2.    0.   -4.   56.   -5. -224.]
30.63,[   1.    1.   -5.   58.   -3. -229.]
30.76,[   0.    1.   -5.   59.   -2. -229.]
30.86,[  -2.    2.   -5.   59.   -1. -228.]
30.97,[  -0.    1.   -5.   60.    1. -231.]
31.06,[  -1.    1.   -4.   62.    1. -236.]
31.17,[  -1.    2.   -4.   59.    2. -228.]
31.26,[  -3.    1.   -3.   64.    3. -243.]
31.36,[  -5.    1.   -5.   64.    4. -246.]
31.47,[  -5.    1.   -5.   61.    4. -234.]
31.56,[  -9.    1.   -4.   62.    4. -239.]
31.66,[ -10.    2.   -5.   65.    3. -249.]
31.76,[ -12.    2.   -4.   60.    2. -229.]
31.83,[ -13.    2.   -4.   66.    3. -249.]
31.93,[ -11.    2.   -3.   58.    2. -219.]
32.03,[ -12.    2.   -3.   58.    2. -217.]
32.13,[ -13.    2.   -3.   64.    3. -234.]
32.22,[ -15.    1.   -4.   62.    2. -224.]
32.33,[ -16.    1.   -5.   64.    0. -230.]
32.42,[ -17.    1.   -4.   63.   -1. -223.]
32.53,[ -18.    1.   -7.   57.   -1. -202.]
32.62,[ -17.    1.   -7.   65.   -1. -226.]
32.73,[ -18.    2.   -6.   66.   -1. -226.]
32.83,[ -17.    2.   -6.   64.   -1. -218.]
32.89,[ -19.    2.   -6.   76.   -1. -257.]
33.0,[ -17.    1.   -5.   61.   -1. -205.]
33.1,[ -18.    2.   -6.   67.   -1. -226.]
33.2,[ -17.    1.   -7.   75.   -1. -253.]
33.33,[ -15.    1.   -5.   70.    0. -236.]
33.43,[ -15.    0.   -6.   72.    2. -246.]
33.53,[ -15.   -0.   -4.   76.    4. -261.]
33.62,[ -14.   -0.   -5.   81.    6. -284.]
33.73,[ -13.    0.   -4.   66.    6. -234.]
33.82,[ -11.    0.   -4.   75.    9. -271.]
33.89,[  -7.    1.   -3.   61.    9. -224.]
34.03,[  -4.    1.   -5.   70.   11. -258.]
34.13,[  -4.    1.   -4.   61.   10. -229.]
34.23,[  -1.    1.   -4.   62.   11. -233.]
34.33,[   2.    1.   -4.   62.   11. -232.]
34.43,[   5.    2.   -4.   62.   10. -235.]
34.52,[   7.    2.   -4.   67.   11. -251.]
34.63,[   9.    2.   -6.   67.   11. -256.]
34.73,[  10.    2.   -4.   68.   10. -261.]
34.8,[  10.    1.   -7.   60.    7. -238.]
34.86,[  10.    1.   -6.   62.    6. -246.]
35.0,[  13.    1.  -12.   80.    6. -325.]
35.1,[  12.   -0.  -19.   92.    4. -386.]
35.2,[  13.   -0.  -29.   80.    4. -366.]
35.3,[  16.   -4.  -36.   68.    3. -334.]
35.39,[  20.   -5.  -38.   51.    1. -260.]
35.46,[  24.   -5.  -41.   50.    1. -258.]
35.59,[  26.   -4.  -41.   55.   -0. -284.]
35.64,[0. 0. 0. 0. 0. 0.]
35.74,[0. 0. 0. 0. 0. 0.]
35.81,[0. 0. 0. 0. 0. 0.]
35.84,[0. 0. 0. 0. 0. 0.]
35.91,[0. 0. 0. 0. 0. 0.]
35.96,[  15.    2.  -30.   50.   -4. -254.]
36.03,[   7.    1.  -35.   52.   -3. -253.]
36.13,[   5.    3.  -34.   47.   -2. -223.]
36.22,[  12.   -1.  -23.   43.   -1. -194.]
36.33,[   9.    2.  -15.   43.   -2. -180.]
36.42,[   7.    2.  -12.   63.   -2. -252.]
36.53,[   7.    3.   -8.   54.   -1. -211.]
36.63,[   7.    3.   -6.   59.    0. -226.]
36.72,[   8.    3.   -6.   60.    2. -228.]
36.83,[   8.    3.   -4.   62.    2. -233.]
36.89,[   5.    2.   -3.   63.    3. -237.]
37.03,[   5.    2.   -4.   60.    5. -226.]
37.13,[   6.    3.   -1.   58.    6. -216.]
37.19,[   3.    2.    2.   66.    7. -243.]
37.33,[   3.    3.    3.   66.    8. -241.]
37.39,[   2.    2.    1.   60.    7. -225.]
37.49,[   0.    2.    1.   66.    8. -246.]
37.56,[   0.    2.    1.   62.    7. -234.]
37.7,[  -1.    1.    1.   64.    7. -244.]
37.79,[  -2.    1.    0.   64.    7. -245.]
37.89,[  -0.    1.    1.   61.    7. -235.]
37.99,[  -1.    1.    0.   66.    8. -254.]
38.09,[  -0.    0.   -0.   64.    8. -247.]
38.2,[  -0.    0.    0.   63.    8. -245.]
38.29,[   2.    1.   -0.   61.    7. -236.]
38.4,[  -0.   -0.    1.   61.    7. -236.]
38.49,[   0.   -0.    1.   59.    7. -228.]
38.59,[   2.    0.    1.   64.    7. -247.]
38.69,[   1.    1.    2.   59.    6. -228.]
38.79,[   0.    0.    1.   59.    6. -227.]
38.86,[   1.    1.    1.   62.    7. -235.]
38.96,[   1.    1.    2.   57.    6. -217.]
